,gene,B_logFC,B_ave,mon_AA_mean,mon_AA_FC,mon_CA_mean,mon_CA_FC,rat_mean,rat_FC
0,prg4,0.244663890304749,0.447314150787645,2.321750187,1.217875095,,,0.190447281,0.386583666
1,mdk,,,6.888491211,0.340399938,8.10500971,0.40916397,,
2,mgll,0.753272786130706,2.2283772709424,1.070663908,0.986404173,,,0.160125201,0.22994124
3,ifitm1,0.207087951623429,0.321861021264528,,,42.71490361,0.344454905,1.199689585,1.790998417
4,plvap,0.0138497154774682,0.470406800248863,3.519014883,1.938929613,,,2.847031676,1.435069356
5,vsir,,,14.64870282,0.323243356,10.503044,0.358628368,0.729925337,1.628399282
6,ap2m1,,,16.02917775,0.240819042,12.05735238,0.253799022,1.923415006,0.107081834
7,anxa3,,,13.69628581,0.21232701,9.858780606,0.386414295,0.710406286,1.637420197
8,selp,,,23.85471935,0.541012396,14.65781282,0.758387825,0.37305345,1.010296783
9,atp2b1,,,13.6354624,0.716165644,7.554583783,0.302453015,0.482159795,0.782028452
10,tspan8,,,6.474541487,0.682589293,2.316063969,1.7470892,0.222336649,0.699374831
11,c1qbp,,,5.744407887,0.309858529,4.114509695,0.404180736,0.960163315,0.180921385
12,ly6e,,,9.334075163,0.334221389,6.109368643,0.242212257,2.884237424,1.366668176
13,rps6,,,121.2671797,0.426843457,83.09979548,0.321791915,9.668143639,0.13521347
14,hm13,,,6.579786768,0.222692999,4.537374671,0.477466553,2.394396679,2.216385358
15,tmed10,,,9.223393574,0.245659099,8.268880492,0.319532926,2.27099845,0.766010981
16,rpl15,,,88.79693388,0.304517133,60.10349169,0.205751068,16.26441853,0.203696652
17,ptpre,,,0.892934001,0.455352509,1.000458117,0.718370156,0.114408876,0.277971746
18,eno1,,,15.07119873,0.292459086,14.53203123,0.327876898,2.03746213,0.315551965
19,park7,,,10.79767583,0.415892426,8.247339755,0.359854014,1.938871506,0.153655416
20,cd74,,,427.4875117,0.533447183,223.6814053,0.886123858,23.12305558,3.105976458
21,procr,,,24.29506887,1.07226971,13.44621895,0.568020635,0.808518622,1.628099452
22,tie1,,,5.998532384,0.358283085,5.723592103,0.573396942,0.23677456,0.485613161
23,fcgrt,,,35.63325893,0.177453723,20.51888483,0.248746882,2.687628765,0.582627923
24,spint2,,,6.884897004,0.304745946,4.992594876,0.333192323,2.120646331,0.4601011
25,cfl1,,,32.00582275,0.281870821,28.15362358,0.271929568,5.838250977,0.077957608
26,fxyd5,,,27.99863801,0.16334034,19.0458188,0.241849852,3.555456412,0.123820798
27,sft2d1,,,7.076481392,0.291384873,4.152203129,0.384538045,0.802470434,0.65373155
28,cxcl16,,,3.567005629,0.818701148,1.260034521,1.08293391,1.02931862,0.511285785
29,trabd,,,2.061374891,0.28683498,1.59268916,0.756268439,0.410071476,0.824197165
30,clic1,,,23.15880685,0.245746705,16.66365862,0.187546877,3.577178098,0.357069544
31,esam,,,34.10181733,0.272540143,28.4604633,0.476123834,0.642194114,1.244466697
32,rack1,,,51.70063619,0.423824948,38.62670182,0.318052704,8.105304395,0.178581141
33,rps8,,,69.4959044,0.391927589,53.15253734,0.35025506,28.87180705,0.111905842
